"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Astral Ltd","ASTRAL","532830","Industrials","3004311011.4","2851108000","0.77","1903149","","","/mutual-fund/holding-history/6337/122/"
"Mphasis Ltd","MPHASIS","526299","Technology","2945800000","2814680000","0.76","1100000","","","/mutual-fund/holding-history/6337/881/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","2814869598.32","2782822000","0.76","16604941","","","/mutual-fund/holding-history/6337/616664/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","2778249435","2772074000","0.75","1210830","","","/mutual-fund/holding-history/6337/284/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","2761550000","2735755000","0.74","550000","","","/mutual-fund/holding-history/6337/80502/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","2675750000","2719420000","0.74","1100000","","","/mutual-fund/holding-history/6337/153/"
"Indian Bank","INDIANB","532814","Financial Services","2645019000","2608218000","0.71","4230000","","","/mutual-fund/holding-history/6337/609/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","2449265446.8","2565674000","0.7","6241757","","","/mutual-fund/holding-history/6337/556/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","2299000000","2401220000","0.65","1900000","","","/mutual-fund/holding-history/6337/168/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","2278635234.75","2222042000","0.6","8510309","","","/mutual-fund/holding-history/6337/808/"
"Prudent Corporate Advisory Services Ltd","PRUDENT","543527","Financial Services","2058639365.7","2199900000","0.6","745047","","","/mutual-fund/holding-history/6337/888523/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","FLUOROCHEM","542812","Basic Materials","2129237000","2149747000","0.58","605000","","","/mutual-fund/holding-history/6337/169265/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","2087400000","2117400000","0.57","6000000","","","/mutual-fund/holding-history/6337/2020/"
