"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","54882090","55010000","0.01","142200","","","/mutual-fund/holding-history/6094/404/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","41022856.6","42418000","0","89122","","","/mutual-fund/holding-history/6094/4813/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","40143750","39684000","0","12500","","","/mutual-fund/holding-history/6094/1409/"
"Petronet LNG Ltd","PETRONET","532522","Energy","37629900","38720000","0","126000","","","/mutual-fund/holding-history/6094/1025/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","32256000","31752000","0","42000","","","/mutual-fund/holding-history/6094/167028/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","28060000","25935000","0","4600","","","/mutual-fund/holding-history/6094/1023/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","24564125","24751000","0","51250","","","/mutual-fund/holding-history/6094/303/"
"AGS Transact Technologies Ltd","AGSTRA","543451","Technology","20459094.86","24725000","0","4587241","","","/mutual-fund/holding-history/6094/790910/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","19927950","18937000","0","105000","","","/mutual-fund/holding-history/6094/911/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","18683250","18745000","0","4350","","","/mutual-fund/holding-history/6094/540/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","14954625","15793000","0","78750","","","/mutual-fund/holding-history/6094/63143/"
"Laurus Labs Ltd","LAURUSLABS","540222","Healthcare","17157675","15545000","0","25500","","","/mutual-fund/holding-history/6094/4984/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","14671200","14315000","0","24000","","","/mutual-fund/holding-history/6094/790/"
"Steel Authority Of India Ltd","SAIL","500113","Basic Materials","13433680","13435000","0","104000","","","/mutual-fund/holding-history/6094/1165/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","11467200","11867000","0","4800","","","/mutual-fund/holding-history/6094/153/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","12586500","11456000","0","4500","-43750","-90.67","/mutual-fund/holding-history/6094/490/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","7602120","7623000","0","21600","","","/mutual-fund/holding-history/6094/2020/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","6386520","6325000","0","2800","","","/mutual-fund/holding-history/6094/117/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","5156025.2","5040000","0","4556","","","/mutual-fund/holding-history/6094/1359/"
"Canara Bank","CANBK","532483","Financial Services","2245320","2324000","0","20250","","","/mutual-fund/holding-history/6094/232/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","2215861.6","2052000","0","5342","","","/mutual-fund/holding-history/6094/629/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1022940","944000","0","600","","","/mutual-fund/holding-history/6094/1374/"
"MEP Infrastructure Developers Ltd","MEP","539126","Industrials","18348745.96","81000","0","8083148","","","/mutual-fund/holding-history/6094/1692/"
